Catalog_Number,Match_Ranking,Resource_Name,Abbreviated_Citation,Perceived_Impact,Developer_Sector,Stream_type_requirements,Geographic_applicability,Adaptable_to_other_locations,Agency_or_organization,Year_of_publication_or_latest_update,Assessment_Class,Hydrology,Hydraulics,Geomorphology,Physicochemical,Biology,Biology_and_Stream_Habitat,Connectivity_Aquatic_Organism_Passage,Stream_Habitat,Riparian_Zone,Variability,Stream_Classification,Time_Required_Tasks_only,Training_Needed,Location_of_Assessment,Tier_of_analysis,Input_Data_Type,Output_Data_Type,Data_Availability,Reference_Required,Performance_Standards_or_Reference_Curves_Used,Programmatic_Applications,Region_of_development_application,State_of_development_application,USACE_Division_use,USACE_District_use,URL_for_tool_or_data_storage,URL_for_user_guide,Notes,Long_Citation,Issues,Introductory_Description
22,126,Rapid Bioassessment Protocol (RBP): Stream Habitat Assessment and Bioassessments,Barbour et al. (1999),High,Public,Wadeable Streams,Nationwide,Yes,EPA,1999,Protocol,-,S,S,-,DC,DC,-,S,S,-,S,"Hours,Days","Low,High","Field,Office,Lab","T1,T3",Field data,"Index,Data",No,Yes,No,"TMDLs, Water Quality, Inventory",-,-,-,-,-,https://archive.epa.gov/water/archive/web/html/app_a.html,"4 Parts: Habitat semi-quantitative assessment, Periphyton quantitative assessment, Macroinvertebrate quantitative assessment, Fish quantitative assessment","Barbour, M.T., J. Gerritsen, B.D. Snyder, and J.B. Stribling. 1999.  Rapid Bioassessment Protocols for Use in Streams and Wadeable Rivers: Periphyton, Benthic Macroinvertebrates and Fish, Second Edition.  EPA 841-B-99-002.  U.S. Environmental Protection Agency; Office of Water; Washington, D.C.",-,"The Rapid Bioassessment Protocols advocate an integrated assessment, comparing habitat (e.g., physical structure, flow regime), water quality and biological measures with empirically defined reference conditions (via actual reference sites, historical data, and/or modeling or extrapolation).   Reference conditions are best established through systematic monitoring of actual sites that represent the natural range of variation in ""minimally” disturbed water chemistry, habitat, and biological conditions (Gibson et al. 1996).  Of these 3 components of ecological integrity, ambient water chemistry may be the most difficult to characterize because of the complex array of possible constituents (natural and otherwise) that affect it.  The implementation framework is enhanced by the development of an empirical relationship between habitat quality and biological condition that is refined for a given region.  As additional information is obtained from systematic monitoring of potentially impacted and site-specific control sites, the predictive power of the empirical relationship is enhanced.  Once the relationship between habitat and biological potential is understood, water quality impacts can be objectively discriminated from habitat effects, and control and rehabilitation efforts can be focused on the most important source of impairment."
23,150,South Carolina Stream Quantification Tool (SC SQT v. 1.1),South Carolina Steering Committee (2022),High,Public,-,SC,No,South Carolina Steering Committee,2022,Protocol,RE,-,DC,DC,DC,DC,-,-,DC,-,-,"Days,Week+","Medium,High","Field,Office,Lab",T3,Field data,Index,Yes,No,Yes,"CWA 404, Inventory",-,SC,-,-,-,https://stream-mechanics.com/wp-content/uploads/2023/03/SC_SQT_User_Manual.pdf,-,"South Carolina Steering Committee. 2022. South Carolina Stream Quantification Tool: Spreadsheet User Manual, SC SQT v1.1. South Carolina Department of Natural Resources, Columbia, SC.",-,The SQT has been developed to assess and quantify functional lift and loss. The SQT can be used to determine credits or debits resulting from reach-scale activities typically encountered in the Clean Water Act (CWA) 404 program.
24,154,Steam Function Assessment Method (SFAM),Nadeau et al. (2018),High,Public,-,OR,Yes,Oregon Dept. of State Lands,2018,Protocol,S,-,S,S,S,S,S,S,S,S,-,Hours,Low,"Field,Office",T1,Field data,Index,No,No,Yes,"CWA 404, Inventory",-,OR,-,Portland District,https://tools.oregonexplorer.info/OE_HtmlViewer/Index.html?viewer=orwap_sfam,https://www.oregon.gov/dsl/ww/pages/sfam.aspx,"The Stream Function Assessment Method (SFAM) is a rapid, science-based approach to assessing the ecological functions and values of a stream reach. Both office work (data collection from maps, online resources and other sources) and field work (onsite measurements and observations) are required to assess measures and calculate SFAM scores.","Nadeau, T-L., D. Hicks, C. Trowbridge, N. Maness, R. Coulombe, N. Czarnomski. 2020. Stream
Function Assessment Method for Oregon (SFAM, Version 1.1). Oregon Dept. of State Lands, Salem, OR, EPA 910-R-20-002, U.S. Environmental Protection Agency, Region 10, Seattle, WA.",-,"The Stream Function Assessment Method (SFAM) was developed to provide a standardized, rapid, more function-based method for assessing stream function statewide. This method is intended to further federal and state regulatory objectives by informing mitigation planning. The current document (Version 1.1) reflects edits and corrections stemming from user comments and input received since SFAM Version 1.0 was made publicly available in June 2018. A section has been added on the use of SFAM to inform restoration design and predict
stream function, the SFAM Workbook has been coded to automatically link data entered into Field Forms
with other Workbook tabs to reduce effort and the potential for transcription errors, and new and updated data
layers were added to the SFAM Map Viewer. This User Manual also includes updates to maintain consistency
with revisions made to other SFAM components (i.e., Excel Workbook, SFAM Map Viewer, Scientific
Rationale) to produce SFAM Version 1.1 and replaces the Version 1.0 document."
25,155,Stream and Wetland Valuation Metric (SWVM) for West Virginia and Ohio ,"USACE (2011, 2015,  2020)",High,Public,-,"WV, OH",No,USACE,2020,Protocol,S,-,S,DC,DC,DC,-,S,S,-,-,"Hours, Days","Low,High","Field,Office,Lab","T1,T3",Field data,Index,No,No,Yes,CWA 404,-,"WV,OH",-,Huntington District,-,-,"Consists of an HGM, a habitat RBP, Chemical (Conductivity, pH, DO), and Biological (WV SCI).  Scored as an index. ",-,-,"IRT development of SWVM appropriate withprogression of Best Available Science in WV.  Integrates individual (established) assessments andkey parameters for chemical, physical andbiological components.  Consistent unit-based (debit/credit) plane forassessing impacts and mitigation while preserving arapid approach."
,159,"Stream Condition Index (SCI) development for Ecological Models, TN Example Application",Pruit et al. (2020),High,Public,-,TN,Yes,USACE,2020,Protocol,S,S,S,S,S,S,-,S,S,-,-,Hours,Low,"Field,Office",T1,Field data,Index,No,Yes,Yes,CWA 404,-,TN,-,-,-,,Rapid visual SCI development,-,-,"The purpose of this special report is to provide a statistical, stepwise pro-cess for formulation of ecological models for application at multiple scales using a stream condition index (SCI). Given the global variability of aquatic ecosystems, this guidance is for broad application and may need to be modified to suit specific watersheds or stream reaches."
27,160,Stream Condition Index (SCI) in Florida,Fore et al. (2007),High,Public,-,FL,Yes,FL DEP,2020,Base Protocol,-,S,S,-,DC,DC,-,S,S,-,-,"Days,Week+",High,"Field,Office,Lab",T3,Field data,Index,No,No,Yes,CWA 404,-,FL,-,-,-,https://floridadep.gov/dear/bioassessment/content/bioassessment-methods,SCI is a composite macroinvertebrate index for use in flowing streams.  It is paired with a qualitative habitat assessment based on DEP SOP FT 3100,"Fore, L. S., Frydenborg, R., Miller, D., Frick, T., Whiting, D., Espy, J., & Wolfe, L. (2007). Development and testing of biomonitoring tools for macroinvertebrates in Florida streams (Stream Condition Index and BioRecon). Tallahassee, FL: Florida Department of Environmental Protection.",-,"The Stream Condition Index (SCI) is a biological assessment procedure that measures the degree to which flowing fresh waters support a healthy, well-balanced biological community, as indicated by benthic macroinvertebrates.  The BioRecon is a companion tool to the SCI, which provides screening level information.  For both the SCI and BioRecon, the principles in this document must be followed for successful application of the methods.   SCI also used a semi-quantitative habitat scoring according to FL DEP SOP FT 3100."
28,23,CA Stream Condition Index (CA SCI),Rehn et al. (2015),High,Public,-,CA,No,CA DFW,2015,Protocol,-,-,-,-,DC,DC,-,-,-,-,-,"Days,Week+",High,"Field,Office,Lab",T3,Field data,Index,No,No,Yes,CWA 404,-,CA,-,-,http://sgrrmp.org/stream_condition.html,https://www.waterboards.ca.gov/water_issues/programs/swamp/bioassessment/docs/csci_tech_memo.pdf,"California Stream Condition Index (CSCI) (Rehn et al. 2015). This index is a calculation of several variables and combines two different indices: an observed-to-expected (O/E) index which measures taxonomic completeness; and a multi-metric index (MMI) which measures ecological structure and function. Previously, these indices were used separately. This tool uses a reference site comparison to analyze score values for each stream.","Rehn, A. C., Mazor, R. D., & Ode, P. R. (2015). The California stream condition index (CSCI): a new statewide biological scoring tool for assessing the health of freshwater streams. California Water Boards Surface Water Ambient Monitoring Program (SWAMP) Technical Memorandum (TM), 2, 13.",-,"The California Stream Condition Index (CSCI) is a new statewide biological scoring tool that translates complex data about benthic macroinvertebrates (BMIs) found living in a stream into an overall measure of stream health. Finalized in 2013 and recently accepted for publication (Mazor et al. in press), the CSCI represents the latest generation of biological indicators for assessing stream health in California.  The CSCI combines two separate types of indices, each of which provides unique information about the biological condition at a stream: a multimetric index (MMI) that measures ecological structure and function, and an observed-to-expected (O/E) index that measures taxonomic completeness."
,24,CA SWAMP Physical Habitat for California Wadeable Streams,Rehn et al. (2018),High,Public,Wadeable Streams,CA,No,CA DFW,2018,Protocol,-,-,DC,-,-,DC,-,DC,DC,-,-,"Days,Week+",High,"Field,Office",T3,Field data,Index,No,No,Yes,CWA 404,-,CA,-,-,-,https://www.waterboards.ca.gov/water_issues/programs/swamp/bioassessment/docs/physical_habitat_index_technical_memo.pdf,-,"Rehn, A.C., R.D. Mazor and P.R. Ode. 2018. An index to measure the quality of physical habitat inCalifornia wadeable streams. SWAMP Technical Memorandum SWAMP-TM-2018-000",-,"This index may be used in a variety of stream management applications, including assessing potentialcauses of poor biological condition, setting targets for restoration, and prioritizing sites for protection orintervention."
30,163,Stream Quantification Tool (SQT),Harman et al. (2012),High,Private,-,Nationwide,Yes,Stream Mechanics,2016,Base Protocol,RE,-,DC,DC,DC,DC,-,-,RE,-,-,"Days,Week+","Medium,High","Field,Office,Lab",T3,Field data,Index,Yes,No,Yes,"CWA 404, Inventory",-,SC,-,-,-,https://www.epa.gov/cwa-404/function-based-framework-stream-assessment-and-restoration-projects-under-cwa-section-404,-,"Harman, W., Starr, R., Carter, M., Tweedy, K., Clemmons, M., Suggs, K., & Miller, C. (2012). A function-based framework for stream assessment and restoration projects. US Environmental Protection Agency, Office of Wetlands, Oceans and Watersheds.",-,"The Framework used in this document was inspired by Fischenich (2006), where the USACE and a group of scientists and practitioners developed functional objectives for stream restoration projects. This document uses different terminology than the Fischenich (2006) document in an attempt to tie stream functions to common parameters that can be used to describe functions. This document does not delineate between parameters that are functions versus those that are structural measures. Rather, the parameters are called function-based because each parameter can be used to help understand the overall function for a given category, which is described below. Stream functions are separated into a hierarchy of categories, ranging from Level 1 to Level 5"
31,164,Stream Visual Assessment Protocol (SVAP2),"Newton et al. (1998), Bjorkland et al. (2001), NRCS (2009)",High,Public,Wadeable Streams,Nationwide,Yes,NRCS,2009,Protocol,S,S,S,S,S,S,S,S,S,-,-,Hours,Low,"Field,Office",T1,Field data,Index,No,Yes,Yes,Inventory,-,-,-,-,-,https://www.nrcs.usda.gov/sites/default/files/2022-10/Stream-Visual-Assessment-Protocol-Version-2.pdf,-,,-,"The Stream Visual Assessment Protocol (SVAP) is a national protocol that provides an initial evaluation of the overall condition of wadeable streams, their riparian zones, and their instream habitats. The majority of the Nation’s streams and rivers are small, often with intermittent flows and, yet, they constitute a close multidimensional linkage between land and water management. "
32,166,Tennessee Stream Quantification Tool ,Tennessee Department of Environment and Conservation (2018),High,Public,-,TN,No,Tennessee Department of Environment and Conservation,2018,Protocol,RE,-,DC,DC,DC,DC,-,-,RE,-,-,"Days,Week+","Medium,High","Field,Office,Lab",T3,Field data,Index,Yes,No,Yes,"CWA 404, Inventory",-,TN,-,-,-,https://www.tn.gov/environment/permit-permits/water-permits1/aquatic-resource-alteration-permit--arap-/permit-water-arap-compensatory-mitigation.html,-,"Tennessee Department of Environment and Conservation (TDEC). (2018). Tennessee Stream Quantification Tool: User Manual, TN SQT v1.0. Nashville, TN: Tennessee Department of Environment and Conservation.",-,"The primary purpose of the TN SQT and associated documents is to evaluate the functional change between an existing and proposed stream condition. The TN Department of Environment and Conservation (TDEC) and the US Army Corps of Engineers (USACE) use these tools when evaluating functional loss and lift associated with stream impacts and stream compensatory mitigation. TDEC and the USACE intend to use the TN SQT as a component of the project review process and to award credits and assess debits through determination of functional lift and loss. The TN SQT may be used as a mechanism to determine the suitability of a project proposal, its potential to generate credits, project goals, objectives and overall project success over time. This document provides instruction on the use of the TN SQT and Debit Tool for Tennessee streams. These instructions outline the procedures for data entry into the SQT Microsoft Excel Workbooks. They also provide guidance on project goals, objectives, restoration potential, selecting function-based parameters and measurement methods."
33,176,USM: Unified stream methodology for use in Virginia,USACE (2007),High,Public,-,VA,No,Norfolk District,2007,Protocol,-,-,S,-,-,S,-,S,S,-,-,Hours,Low,"Field,Office",T1,Field data,"Index, Impacts, Credits",No,No,Yes,CWA 404/401,-,VA,-,Norfolk,-,https://www.nao.usace.army.mil/Missions/Regulatory/Unified-Stream-Methodology/,-,-,-,"The Unified Stream Methodology (USM) is a collaborative effort between the U.S. Army Corps of Engineers, Norfolk District (COE) and the Virginia Department of Environmental Quality (DEQ). The purpose of this Manual is to describe a method to rapidly assess what the stream compensation requirements would be for permitted stream impacts and the amount of “credits” obtainable through implementation of various stream compensation practices. The Manual describes a process to: 1) assign a Reach Condition Index (RCI) to the stream to be impacted; 2) assess the type or severity of impact; 3) determine the compensation requirement; and, 4) determine what types of and the amount of the various compensation practices that will satisfy the compensation requirement."
34,192,Wisconsin Beta Stream Quantification Tool (WI SQT (Beta)),WI SQT Steering Committee (2023),High,Public,-,WI,No,"EPA, USACE",2023,Protocol,,,,,,-,,,,,,"Days,Week+","Medium,High","Field,Office,Lab",T3,Field data,Index,No,No,Yes,CWA 404,-,WI,-,St. Paul District,-,-,-,Wisconsin Stream Quantification Tool Steering Committee (WISQT SC). 2023. Stream Quantification Tool and Debit Calculator for Wisconsin User Manual and Workbooks. Beta Version.,-,"The WISQT workbook and Debit Calculator workbook were developed to characterize stream ecosystem functions by evaluating a suite of indicators that represent structural or compositional attributes of a stream and its underlying processes. Indicators represent parameters that are often impacted by authorized projects or affected (e.g., enhanced or restored) by mitigation actions undertaken by restoration providers. The WISQT has been developed using existing SQTs and regionalized for use in Wisconsin. Many of the parameters, metrics, and reference curves within the WISQT BETA Version are similar or identical to those in the MNSQT v2.0 (MNSQT SC 2020a).]"
35,194,Wyoming Stream Quantification Tool (WSQT) ,"Wyoming Stream Team (2018), USACE (2018)",High,Public,-,WY,No,"USACE, Wyoming Regulatory Office",2018,Protocol,RE,RE,DC,DC,DC,DC,-,-,RE,-,-,"Days,Week+","Medium,High","Field,Office,Lab",T3,Field data,Index,No,No,Yes,CWA 404,-,WY,-,Omaha District,-,-,-,"U.S. Army Corps of Engineers. 2023. Wyoming Stream Quantification Tool (WSQT) User Manual and Spreadsheet. Version 2.0, Omaha District, Wyoming Regulatory Office, Cheyenne Wyoming.",-,The purpose of the Wyoming Stream Quantification Tool (WSQT) is to calculate functional lift and loss associated with restoration and impact activities within streams that fall within the scope of the Clean Water Act Section 404 (CWA 404) regulatory program to ensure that authorized stream impacts are adequately mitigated. The WSQT can be used for a proposed or active stream restoration project or a proposed stream impact requiring a CWA §404 permit. The WSQT can also be applied to restoration projects outside of the CWA §404 regulatory context.
36,37,EMAP Physical Habitat Characterization,"Kaufmann and Robison, 1999",High,Public,-,OR,Yes,EPA,1999,Protocol,-,-,DC,-,DC,DC,-,DC,DC,-,-,"Days,Week+","Medium,High","Field,Office","T2,T3",Field data,Index,No,Yes,Yes,Inventory,-,-,-,-,-,https://archive.epa.gov/emap/archive-emap/web/html/phyhab.html,"Detailed data collection that then uses SAS code to compute output indices. Guidance for calculating measures or indices of stream size andgradient, sinuosity, substrate size and stability, habitat complexity and cover, woody debrissize and abundance, residual pool dimensions and frequency, riparian vegetation cover andstructure, anthropogenic disturbances, and channel-riparian interaction.   Two-person crews typicallycomplete EMAP habitat measurements in 1.5 to 3.5 hours of field time. While this timecommitment is greater than that required for more qualitative methods, these morequantitative methods are more repeatable (more precise). For EMAP field crews in whichfour people collect a variety of physical, chemical, and biological information, this level ofeffort is about 25% to 33% of that spent on biological measures.","Kaufmann, P. R., Levine, P., Peck, D. V., Robison, E. G., & Seeliger, C. (1999). Quantifying physical habitat in wadeable streams (p. 149). USEPA [National Health and Environmental Effects Research Laboratory, Western Ecology Division].",-,"Describe concepts, rationale, and analytical procedures for characterizing physical habitat in wadeable streams based on raw data generated from methods similar or equal to those of Kaufmann and Robison (1998) that are used by the U.S. Environmental Protection Agency (USEPA) in its Environmental Monitoring and Assessment Program (EMAP). We provide guidance for calculating measures or indices of stream size and gradient, sinuosity, substrate size and stability, habitat complexity and cover, woody debris size and abundance, residual pool dimensions and frequency, riparian vegetation cover and structure, anthropogenic disturbances, and channel-riparian interaction. The EMAP surveys locate sample reaches using a randomized, systematic design. Within sample reaches, the EMAP field approach also employs a randomized, systematic design to systematically locate and space habitat observations on stream reaches, each of which have a length 40 times their lowflow wetted width. Two-person crews typically complete EMAP habitat measurements in 1.5 to 3.5 hours of field time. While this time commitment is greater than that required for more qualitative methods, these more quantitative methods are more repeatable (more precise). For EMAP field crews in which four people collect a variety of physical, chemical, and biological information, this level of effort is about 25% to 33% of that spent on biological measures"
37,179,"Vermont Stream Geomorphic Assessment Protocol - Phase 1, Watershed Assessment","Vermont Agency of Natural Resources, 2007",High,Public,Wadeable Streams,VT,Yes,Vermont Agency of Natural Resources,2007,Protocol,RE,RE,RE,-,-,-,-,-,RE,-,RE,"Hours, Days","Medium,High",Office,"T1,T2",GIS data,"Index, Data, Categorical or Descriptive Summaries",No,Yes,No,"Intentory, Monitoring",-,VT,-,-,https://dec.vermont.gov/watershed/rivers/river-corridor-and-floodplain-protection/geomorphic-assessment,https://dec.vermont.gov/sites/dec/files/wsm/rivers/docs/rv_SGA_Phase1_Protocol.pdf,"To support the Phase 1 Watershed Assessment, the Vermont Agency of Natural Resources (ANR) has developed a GIS extension for ArcView called the Stream Geomorphic Assessment Tool (SGAT).   Level 1 assessment products include: Reference Stream Typing, Stream Impact Rating, Provisional Geomorphic Condition Evaluation (reach condition, channel processes, reach sensitivity), Like Reach Evaluation, Watershed maps",-,-,"This Handbook is a guide to the Phase 1 Watershed Assessment, the first of 3 phases of the Vermont Stream Geomorphic Assessment protocols.  Phase 1 is carried out using existing data such as topographic maps, orthophotos, agencies’ and organizations’ databases, local and resource specialists’ knowledge, and “windshield surveys.”   Windshield surveys provide field data through quick observation without extensive field measurements.    The data collected in a Phase 1 assessment provide an overview of the general physical characteristics of a watershed.  Maps, aerial pictures, and historic information will be invaluable when combined with field interpretations in piecing together the story of a stream’s response to the natural and human disturbances that have occurred over time at the watershed scale.   "
38,180,"Vermont Stream Geomorphic Assessment Protocol - Phase 2, Rapid  Stream Assessment (RGA, RHA)","Vermont Agency of Natural Resources, 2009",High,Public,Wadeable Streams,VT,Yes,Vermont Agency of Natural Resources,2009,Protocol,S,S,S,-,-,S,S,S,S,-,S,"Hours,Days","Medium,High","Field,Office","T1,T2",Field data,"Index, Data, Categorical or Descriptive Summaries",No,No,Yes,"Intentory, Monitoring",-,VT,-,-,https://dec.vermont.gov/watershed/rivers/river-corridor-and-floodplain-protection/geomorphic-assessment,https://dec.vermont.gov/sites/dec/files/wsm/rivers/docs/rv_SGA_Phase2_Protocol.pdf,-,-,-,"This Handbook is a guide to the Phase 2 Rapid Stream Assessment, the second of 3 phases of the Vermont Stream Geomorphic Assessment Protocols.  The Phase 2 Rapid Stream Assessment is a detailed protocol for gathering scientifically sound information about the stream channel and riparian corridor that can be used in watershed planning and detailed evaluations of aquatic habitat and erosion hazards.  References used to develop the Phase 2 protocols are listed after the field data collection and analysis sections (Steps 1-7).  The Phase 2 Assessment is composed of field observations and measurements that help verify Phase 1 stream geomorphic data and provide more specific information about stream reaches of interest.  Phase 2 assessments can be used to compare stream reaches within the same watershed to each other and/or to regional reference conditions. "
39,181,"Vermont Stream Geomorphic Assessment Protocol - Phase 3, Survey Assessment","Vermont Agency of Natural Resources, 2009",High,Public,Wadeable Streams,VT,Yes,Vermont Agency of Natural Resources,2009,Protocol,-,DC,DC,-,-,DC,-,DC,-,-,-,"Days,Week+","Medium,High","Field,Office",T3,Field data,"Index, Data, Categorical or Descriptive Summaries",No,No,Yes,"Intentory, Monitoring",-,VT,-,-,https://dec.vermont.gov/watershed/rivers/river-corridor-and-floodplain-protection/geomorphic-assessment,https://dec.vermont.gov/sites/dec/files/wsm/rivers/docs/rv_SGA_Phase3_Protocol.pdf,"Products include : Existing stream typing, Stream geomorphic assessment (stream condition, adjustment process, and sensitivity), Stream Habitat Evalution",-,-,"The Phase 3 Survey Assessment is a detailed protocol for gathering scientifically sound information that can be used for watershed planning and detailed characterization of aquatic habitat, erosion, and flood hazards.  References used to develop the Phase 3 protocols are listed after the field data collection and analysis sections (Steps 1-7).  The Phase 3 Survey Assessments are composed of observations, measurements, and survey data and are conducted on “reference” equilibrium reaches and selected degraded sites to quantify physical channel form and processes in detail.   Phase 3 assessments can be used to verify Phase 1 and Phase 2 data and compare stream reaches and segments to each other and to regional reference conditions. "
40,178,Vermont Reach Habitat Assessment (RHA),"Milone & MacBroom, Inc., 2008",High,Public,Wadeable Streams,VT,Yes?,Vermont Agency of Natural Resources,2008,Protocol,-,S,S,-,-,S,S,S,S,-,S,"Hours,Days","Low,Medium","Field,Office","T1,T2",Field data,Index,No,No,Yes,"Intentory, Monitoring",-,VT,-,-,https://dec.vermont.gov/watershed/rivers/river-corridor-and-floodplain-protection/geomorphic-assessment,https://dec.vermont.gov/sites/dec/files/wsm/rivers/docs/rv_RHAProtocolReport.pdf,-,-,-,-
41,167,Texas Rapid Assessment Method (TXRAM),"U.S. Army Corps of Engineers, 2015",High,Public,All streams,TX,Yes,USACE,2015,Protocol,S,-,S,S,-,S,-,S,S,-,S,Hours,Low,"Field,Office",T1,Field data,Index,No,No,Yes,CWA 404/401,-,TX,-,-,-,https://www.swf.usace.army.mil/Portals/47/docs/regulatory/Permitting/Submittal%20Forms/TXRAM_Wetlands_and_Streams_Modules_Version_2.0_Final.pdf,-,-,-,"The Fort Worth District of the U.S. Army Corps of Engineers (USACE), Regulatory Division, has developed this manual to provide a rapid assessment method for evaluating the ecological condition of jurisdictional wetlands and streams. This manual contains two separate modules— one for wetlands and one for streams—which each describe the intended use, scope, background, procedures, and guidelines for the Texas Rapid Assessment Method (TXRAM). The output from TXRAM will be used for calculating adverse impacts and compensatory mitigation associated with USACE authorized activities under Section 404 of the Clean Water Act and Section 10 of the Rivers and Harbors Act of 1899. The appropriate use of TXRAM will provide consistent methods for wetland and stream assessment and will support the integrity of data collection and comparison."
42,81,Maryland Biological Stream Survey’s (MBSS) Physical Habitat Index (PHI),Paul et al. 2003,High,Public,All streams,MD,No,Maryland Department of Natural Resources,2003,Protocol,DC,-,DC,DC,-,DC,-,DC,DC,-,-,"Days,Week+","Medium,High","Field,Office",T3,Field data,Index,Yes,No,Yes,"Inventory, Monitoring",-,MD,-,-,-,https://dnr.maryland.gov/streams/Publications/ea-03-4_phi.pdf,-,-,-,"“A Physical Habitat Index for Freshwater Wadeable Streams in Maryland,” supports the Maryland Department of Natural Resources’ Maryland Biological Stream Survey (MBSS) under the direction of Ronald Klauda and Paul Kazyak of the Monitoring and Non-Tidal Assessment Division (MANTA).  Tetra Tech, Inc. was sub-contracted to develop a revised Physical Habitat Index intended to update and revise the original provisional index.  The primary goals were to (1) examine the current biological, chemical, land use, and physical habitat data from the 1994-2000 MBSS database to classify streams in the state, develop reference and degraded criteria for each class, investigate habitat metrics that discriminate between reference and degraded condition, and assemble them into a final revised physical habitat index (PHI); (2) relate the revised PHI to biological metrics calculated as part of the MBSS; (3) compare the revised PHI to the original index; and  (4) propose potential new metrics to be added to the current habitat assessment protocol used by the MBSS. "
43,68,IOWA DNR Stream Restoration Toolbox - BMP Decision Tool,"Iowa Department of Natural Resources, 2022",High,Public,All streams,IA,Yes,IOWA DNR,2022,Protocol,RE,RE,DC,-,-,S,-,S,S,-,S,"Hours,Days",Medium,"Field,Office","T1,T2","GIS Data, Field Data",Index,No,No,Yes,"Inventory, Monitoring",-,IA,-,-,https://www.iowadnr.gov/Environmental-Protection/Water-Quality/River-Restoration/River-Restoration-Toolbox,https://www.iowadnr.gov/Environmental-Protection/Water-Quality/River-Restoration/River-Restoration-Toolbox,-,-,-,"Understanding driving factors that cause your unstable stream segment to erode or damage infrastructure prior to jumping to solutions leads to stable, cost-effective solutions. Misidentified solutions cause future instabilities in the dynamic stream setting, leading to costly repairs and unintended damage. Begin by entering desktop and field-collected survey data, using illustrations and instructions. This tool helps the user understand some of the key problems. It then points to multiple practices and techniques that may be appropriate for selection by the project team. A review checklist for documentation helps design team, project owners, funders, and regulators communicate in consistent ways."
44,104,NOAA - River RAT River Restoration Analysis Tool,Skidmore et al. 2010,High,Public,All streams,Nationwide,Yes,NOAA,2011,Protocol,S,S,S,-,-,S,-,S,S,-,-,Days,"Low,Medium","Field,Office",T2,"GIS Data, Field Data",Descriptive Summaries,No,No,No,Inventory,-,-,-,-,https://www.webapps.nwfsc.noaa.gov/apex/f?p=275:1,https://www.webapps.nwfsc.noaa.gov/apex/f?p=275:1,Requires access.  More of a planning and design tool,"Skidmore, P.B., C.R. Thorne, B.L. Cluer, G.R. Pess, J.M. Castro, T.J. Beechie, and C.C. Shea. 2011. Science base and tools for evaluating stream engineering, management, and restoration proposals. U.S. Dept. Commer., NOAA Tech. Memo. NMFS-NWFSC-112, 255 p.",-,"RiverRAT and its supporting tools, the Screening Matrix and the Project Information Checklist, have a common set of information needs and are coordinated so that information is considered in the same sequence; the sequence proceeds in a logical order in which information is considered in general project development. The three tools help determine the depth of review required, assure that a project proposal is complete, and guide reviewers through a thorough and scientifically sound project review. The tools are coordinated with the RiverRAT Science Document — the scientific underpinning of the tools — which includes a synthesis of fluvial geomorphology from physical watershed controls to stream processes and channel forms, as well as a synthesis of the project design process from problem identification through project design and post-project appraisal. Utilizing these tools can improve review consistency and transparency, and we believe that there can be a feedback with project development to improve project designs, and most importantly, place problems and solutions in context with physical process drivers and geomorphic controls on aquatic habitat creation and maintenance.  "
